item_code,name,name_kana,is_fasting,category_code,energy_kcal,protein_g,fat_g,carbohydrate_g,water_ml,salt_g,indication,display_order
A00101,一般食1600kcal,イッパンショク1600,,01,1600,65,45,235,1500,8,咀嚼・嚥下に問題のない成人。活動量の少ない例,110
A00103,一般食1800kcal,イッパンショク1800,,01,1800,70,50,265,1500,8,成人の標準。特別な制限のない例,120
A00105,一般食2000kcal,イッパンショク2000,,01,2000,75,55,300,1600,8,活動量の多い成人・若年者,130
A00107,一般食2200kcal,イッパンショク2200,,01,2200,80,60,330,1600,8,活動量の多い若年者・体格の大きい例,140
A00111,全粥食1400kcal,ゼンガユショク1400,,01,1400,55,40,210,1600,8,咀嚼力の低下例・軟菜との組合せ,150
A00113,全粥食1600kcal,ゼンガユショク1600,,01,1600,60,45,240,1600,8,咀嚼力の低下例。全粥食からの段階を上げるとき,160
A00121,七分粥食1200kcal,シチブガユショク1200,,01,1200,50,35,170,1600,7,術後の食上げ・消化管の負担を減らしたいとき,170
A00123,五分粥食1000kcal,ゴブガユショク1000,,01,1000,40,30,145,1700,7,術後の食上げ。三分粥から全粥への中間,180
A00125,三分粥食800kcal,サンブガユショク800,,01,800,30,25,115,1700,6,流動食から固形へ移す最初の段階,190
A00131,流動食600kcal,リュウドウショク600,,01,600,20,15,95,1800,5,術直後・嚥下機能の評価前。長期には使わない,200
A00203,糖尿病食1200kcal,トウニョウビョウショク1200,,02,1200,55,35,165,1500,7,糖尿病・耐糖能異常。低身長または安静度の高い例,210
A00205,糖尿病食1400kcal,トウニョウビョウショク1400,,02,1400,60,40,195,1500,7,糖尿病・耐糖能異常,220
A00201,糖尿病食1600kcal,トウニョウビョウショク1600,,02,1600,70,45,230,1500,7,糖尿病・耐糖能異常。腎症合併例は腎臓食を選ぶ,230
A00207,糖尿病食1800kcal,トウニョウビョウショク1800,,02,1800,75,50,260,1500,7,糖尿病・耐糖能異常。活動量の多い例,240
A00211,腎臓食(蛋白40g)1800kcal,ジンゾウショク40,,02,1800,40,55,290,1200,6,CKD ステージ3b以降・保存期腎不全。水分制限は別に指示,250
A00213,腎臓食(蛋白50g)1800kcal,ジンゾウショク50,,02,1800,50,55,280,1200,6,CKD ステージ3。蛋白制限の緩い段階,260
A00215,腎臓食(蛋白60g)2000kcal,ジンゾウショク60,,02,2000,60,60,310,1300,6,透析導入例・蛋白制限を緩めた維持期,270
A00221,心臓食1800kcal,シンゾウショク1800,,02,1800,70,50,265,1400,6,心不全・高血圧。水分制限は別に指示,280
A00223,減塩食1600kcal,ゲンエンショク1600,,02,1600,65,45,235,1500,6,高血圧・浮腫。塩分をさらに絞るときは塩分制限の欄で指示,290
A00231,肝臓食1800kcal,カンゾウショク1800,,02,1800,80,45,275,1500,8,肝炎・脂肪肝。肝性脳症の例には使わない,300
A00233,膵臓食1600kcal,スイゾウショク1600,,02,1600,70,25,280,1500,7,膵炎の回復期・胆嚢疾患。脂質を強く抑えた食事,310
A00241,胃潰瘍食1600kcal,イカイヨウショク1600,,02,1600,65,40,245,1500,7,胃潰瘍・胃炎。刺激物を除いた易消化食,320
A00243,低残渣食1400kcal,テイザンサショク1400,,02,1400,55,35,215,1500,7,炎症性腸疾患の活動期・大腸検査前後,330
A00251,貧血食1800kcal,ヒンケツショク1800,,02,1800,80,50,260,1500,8,鉄欠乏性貧血。鉄・蛋白質を多めにした食事,340
A00253,脂質異常症食1600kcal,シシツイジョウショク1600,,02,1600,70,40,245,1500,7,脂質異常症。飽和脂肪酸とコレステロールを抑えた食事,350
A00255,痛風食1800kcal,ツウフウショク1800,,02,1800,70,50,265,2000,7,高尿酸血症・痛風。プリン体を抑え飲水を励行する,360
A00261,嚥下調整食1200kcal,エンゲチョウセイショク1200,,02,1200,50,35,175,1400,6,嚥下障害。副食形態とあわせて段階を指示する,370
A00263,妊娠高血圧症候群食1800kcal,ニンシンコウケツアツショク1800,,02,1800,75,50,260,1500,7,妊娠高血圧症候群。産科の指示にあわせて塩分を調整,380
E00103,経腸栄養剤800kcal,ケイチョウエイヨウザイ800,,03,800,32,22,118,700,2,経管栄養の開始時・少量からの導入。商品名と投与速度はコメントで指示,410
E00101,経腸栄養剤1200kcal,ケイチョウエイヨウザイ1200,,03,1200,48,33,175,1000,3,経管栄養の維持。商品名・濃度・1回量はコメントで指示,420
E00105,経腸栄養剤1600kcal,ケイチョウエイヨウザイ1600,,03,1600,64,44,235,1300,4,経管栄養の維持。必要量の多い例,430
E00111,半固形栄養剤1200kcal,ハンコケイエイヨウザイ1200,,03,1200,48,33,175,900,3,胃瘻からの短時間注入。逆流・下痢のある例,440
M00101,調乳(標準濃度),チョウニュウ,,04,,,,,,,商品名・濃度・1回量・本数・乳首サイズはコメントで指示する,510
NPO,食止め,ショクドメ,true,,,,,,,,検査・手術・絶食の指示。欠食理由を必ず入れる,900
