dataset_code,name,name_kana,display_order
000001,上部消化管内視鏡,ジョウブショウカカンナイシキョウ,10
000002,上部消化管内視鏡(鎮静下),ジョウブショウカカンナイシキョウチンセイ,20
000003,食道内視鏡,ショクドウナイシキョウ,30
000004,超音波内視鏡(上部),チョウオンパナイシキョウジョウブ,40
000005,内視鏡的胃・十二指腸粘膜切除術,イエムアール,50
000006,内視鏡的胃・十二指腸粘膜下層剥離術,イーエスディーイ,60
000007,内視鏡的食道粘膜下層剥離術,イーエスディーショクドウ,70
000008,内視鏡的消化管止血術,ナイシキョウテキシケツジュツ,80
000009,内視鏡的食道・胃静脈瘤結紮術,イーブイエル,90
000010,内視鏡的食道・胃内異物摘出術,イブツテキシュツ,100
000011,胃瘻造設術(PEG),ペグゾウセツ,110
000012,小腸内視鏡(バルーン内視鏡),ショウチョウナイシキョウバルーン,120
000013,小腸カプセル内視鏡,ショウチョウカプセルナイシキョウ,130
000014,大腸内視鏡(全大腸),ダイチョウナイシキョウゼンダイチョウ,140
000015,大腸内視鏡(下行結腸・横行結腸),ダイチョウナイシキョウオウコウ,150
000016,大腸内視鏡(S状結腸),ダイチョウナイシキョウエスジョウ,160
000017,大腸カプセル内視鏡,ダイチョウカプセルナイシキョウ,170
000018,直腸鏡検査,チョクチョウキョウケンサ,180
000019,肛門鏡検査,コウモンキョウケンサ,190
000020,直腸ファイバースコピー,チョクチョウファイバースコピー,200
000021,内視鏡的大腸ポリープ・粘膜切除術(2cm未満),ダイチョウイエムアール,210
000022,内視鏡的大腸ポリープ・粘膜切除術(2cm以上),ダイチョウイエムアールダイ,220
000023,内視鏡的結腸異物摘出術,ケッチョウイブツテキシュツ,230
000024,小腸結腸内視鏡的止血術,カブシケツジュツ,240
000025,内視鏡的逆行性胆管膵管造影(ERCP),イーアールシーピー,250
000026,内視鏡的乳頭切開術(EST),イーエスティー,260
000027,内視鏡的経鼻胆管ドレナージ術(ENBD),イーエヌビーディー,270
000028,内視鏡的胆道ステント留置術,タンドウステントリュウチ,280
000029,内視鏡的胆道結石除去術,タンドウケッセキジョキョ,290
000030,気管支鏡検査,キカンシキョウケンサ,300
000031,気管支肺胞洗浄(BAL),キカンシハイホウセンジョウ,310
000032,超音波気管支鏡(EBUS-TBNA),イーバス,320
000033,喉頭内視鏡検査,コウトウナイシキョウ,330
000034,鼻咽腔内視鏡検査,ビイントウナイシキョウ,340
000035,内視鏡下嚥下機能検査(VE),エンゲナイシキョウ,350
000036,膀胱尿道鏡検査,ボウコウニョウドウキョウ,360
