item_code,name,short_name,name_kana,receipt_code,category_code,default_duration_minutes,default_approach,default_position,default_anesthesia_methods,requires_laterality,display_order
150001810,皮膚切開術（長径１０ｃｍ未満）,皮膚切開,ヒフセッカイジュツ,150001810,0101,30,,supine,local,0,10
150003110,皮膚、皮下腫瘍摘出術（露出部）（長径２ｃｍ未満）,皮下腫瘍摘出(露出部),ヒフヒカシュヨウテキシュツジュツ,150003110,0101,30,,supine,local,0,20
150003510,皮膚、皮下腫瘍摘出術（露出部以外）（長径３ｃｍ未満）,皮下腫瘍摘出,ヒフヒカシュヨウテキシュツジュツ,150003510,0101,30,,supine,local,0,30
150006410,分層植皮術（２５ｃｍ２未満）,分層植皮,ブンソウショクヒジュツ,150006410,0102,60,,supine,general-inhalation,0,40
150455910,腱鞘切開術（指）,腱鞘切開(指),ケンショウセッカイジュツ,150455910,0201,30,,supine,local,1,50
150055110,手根管開放手術,手根管開放,シュコンカンカイホウシュジュツ,150055110,0201,45,,supine,nerve-block,1,60
150020710,骨内異物（挿入物含む）除去術（大腿骨骨内異物除去術）,抜釘(大腿骨),コツナイイブツジョキョジュツ,150020710,0202,60,,supine,spinal,1,70
150313110,半月板切除術（関節鏡下）,鏡視下半月板切除,ハンゲツバンセツジョジュツ,150313110,0203,60,other,supine,spinal,1,80
150050510,人工関節置換術（人工膝関節置換術）,TKA,ジンコウシツカンセツチカンジュツ,150050510,0203,120,,supine,spinal,1,90
150050410,人工関節置換術（人工股関節置換術）,THA,ジンコウコカンセツチカンジュツ,150050410,0203,120,,lateral,spinal,1,100
150343810,肩腱板断裂手術（関節鏡下）（簡単）,鏡視下腱板縫合,カタケンバンダンレツシュジュツ,150343810,0203,120,other,lateral,"general-inhalation,nerve-block",1,110
150019210,骨折観血的手術（大腿骨骨折観血的手術）,大腿骨骨接合,コッセツカンケツテキシュジュツ,150019210,0204,120,,supine,spinal,1,120
150019310,骨折観血的手術（前腕骨骨折観血的手術）,前腕骨骨接合,コッセツカンケツテキシュジュツ,150019310,0204,90,,supine,nerve-block,1,130
150019510,骨折観血的手術（鎖骨骨折観血的手術）,鎖骨骨接合,コッセツカンケツテキシュジュツ,150019510,0204,90,,supine,general-inhalation,1,140
150473110,椎間板摘出術（腰椎椎間板後方摘出術）,腰椎椎間板摘出,ツイカンバンテキシュツジュツ,150473110,0205,120,,prone,general-inhalation,0,150
150273410,慢性硬膜下血腫穿孔洗浄術,慢硬穿孔洗浄,マンセイコウマクカケッシュセンコウセンジョウジュツ,150273410,0301,60,,supine,local,1,160
150077010,涙嚢鼻腔吻合術,涙嚢鼻腔吻合,ルイノウビクウフンゴウジュツ,150077010,0401,90,,supine,general-inhalation,1,170
150078810,眼瞼下垂症手術（眼瞼挙筋前転法）,眼瞼下垂(挙筋前転),ガンケンカスイショウシュジュツ,150078810,0402,60,,supine,local,1,180
150080210,翼状片手術（弁の移植を要する）,翼状片手術,ヨクジョウヘンシュジュツ,150080210,0406,30,,supine,topical,1,190
150335910,緑内障手術（濾過手術）,緑内障(濾過手術),リョクナイショウシュジュツ,150335910,0408,60,,supine,nerve-block,1,200
150253010,水晶体再建術（眼内レンズを挿入）（その他）,白内障手術,スイショウタイサイケンジュツ,150253010,0409,30,,supine,topical,1,210
150090410,硝子体切除術,硝子体切除,ショウシタイセツジョジュツ,150090410,0409,60,,supine,nerve-block,1,220
150093610,鼓膜切開術,鼓膜切開,コマクセッカイジュツ,150093610,0502,15,,supine,topical,1,230
150398510,鼓室形成手術（耳小骨温存術）,鼓室形成,コシツケイセイシュジュツ,150398510,0502,180,,supine,general-inhalation,1,240
150100110,鼻中隔矯正術,鼻中隔矯正,ビチュウカクキョウセイジュツ,150100110,0504,60,,supine,general-inhalation,0,250
150373610,内視鏡下鼻・副鼻腔手術４型（汎副鼻腔手術）,ESS4型,ナイシキョウカビフクビクウシュジュツ,150373610,0505,120,,supine,general-inhalation,0,260
150104910,口蓋扁桃手術（摘出）,扁摘,コウガイヘントウシュジュツ,150104910,0506,60,,supine,general-inhalation,0,270
150103310,アデノイド切除術,アデノイド切除,アデノイドセツジョジュツ,150103310,0506,30,,supine,general-inhalation,0,280
150106210,気管切開術,気管切開,キカンセッカイジュツ,150106210,0507,45,,supine,local,0,290
150117210,唾石摘出術（表在性）,唾石摘出(表在性),ダセキテキシュツジュツ,150117210,0604,30,,supine,local,1,300
150118910,甲状腺部分切除術、甲状腺腫摘出術（片葉のみ）,甲状腺部分切除,コウジョウセンブブンセツジョジュツ,150118910,0605,120,,supine,general-inhalation,1,310
150121110,乳腺腫瘍摘出術（長径５ｃｍ未満）,乳腺腫瘍摘出,ニュウセンシュヨウテキシュツジュツ,150121110,0701,60,,supine,local,1,320
150303110,乳腺悪性腫瘍手術（乳房部分切除術（腋窩部郭清を伴わない））,乳房部分切除,ニュウセンアクセイシュヨウシュジュツ,150303110,0701,120,,supine,general-inhalation,1,330
150358810,胸腔鏡下肺悪性腫瘍手術（肺葉切除又は１肺葉を超える）,胸腔鏡下肺葉切除,キョウクウキョウカハイアクセイシュヨウシュジュツ,150358810,0704,240,thoracoscopic,lateral,"general-inhalation,epidural",1,340
150145910,冠動脈、大動脈バイパス移植術（１吻合）,CABG,カンドウミャクダイドウミャクバイパスイショクジュツ,150145910,0801,360,open,supine,general-inhalation,0,350
150140210,ペースメーカー移植術（経静脈電極）,ペースメーカー植込み,ペースメーカーイショクジュツ,150140210,0801,90,percutaneous,supine,local,0,360
150416410,末梢動静脈瘻造設術（内シャント造設術）（単純）,内シャント造設,ナイシャントゾウセツジュツ,150416410,0802,90,,supine,local,1,370
150154010,下肢静脈瘤手術（抜去切除術）,下肢静脈瘤(ストリッピング),カシジョウミャクリュウシュジュツ,150154010,0803,60,,supine,spinal,1,380
150159010,鼠径ヘルニア手術,鼠径ヘルニア根治術,ソケイヘルニアシュジュツ,150159010,0901,90,open,supine,spinal,1,390
150263610,腹腔鏡下鼠径ヘルニア手術（両側）,腹腔鏡下鼠径ヘルニア,フククウキョウカソケイヘルニアシュジュツ,150263610,0901,120,laparoscopic,supine,general-inhalation,0,400
150158810,臍ヘルニア手術,臍ヘルニア,サイヘルニアシュジュツ,150158810,0901,60,open,supine,general-inhalation,0,410
150181610,虫垂切除術（虫垂周囲膿瘍を伴わないもの）,アッペ,チュウスイセツジョジュツ,150181610,0903,60,open,supine,general-inhalation,0,420
150337610,腹腔鏡下虫垂切除術（虫垂周囲膿瘍を伴わないもの）,ラパアッペ,フククウキョウカチュウスイセツジョジュツ,150337610,0903,90,laparoscopic,supine,general-inhalation,0,430
150165210,胃切除術（単純切除術）,胃切除,イセツジョジュツ,150165210,0903,180,open,supine,"general-inhalation,epidural",0,440
