item_code,name,short_name,name_kana,kind,exam_type_code,receipt_code,dataset_code,requires_perform_input,groupable,requires_appointment,duration_minutes,display_order
000001,上部消化管内視鏡(経口),EGD(経口),ジョウブショウカカンナイシキョウケイコウ,single,01,160093810,000001,1,0,1,20,10
000002,上部消化管内視鏡(経鼻),EGD(経鼻),ジョウブショウカカンナイシキョウケイビ,single,01,160093810,000001,1,0,1,20,20
000003,上部消化管内視鏡(鎮静下),EGD(鎮静),ジョウブショウカカンナイシキョウチンセイ,single,01,160093810,000002,1,0,1,30,30
000004,緊急上部消化管内視鏡,緊急EGD,キンキュウジョウブショウカカンナイシキョウ,single,01,160093810,000001,1,1,0,,40
000005,食道内視鏡,EF-食道,ショクドウナイシキョウ,single,01,160093410,000003,1,0,1,20,50
000006,超音波内視鏡(上部),EUS(上部),チョウオンパナイシキョウジョウブ,single,01,160093810,000004,1,0,1,40,60
000007,内視鏡的胃・十二指腸ポリープ・粘膜切除術(EMR),胃EMR,イイエムアール,single,01,150164410,000005,1,0,1,60,70
000008,内視鏡的胃・十二指腸粘膜下層剥離術(ESD),胃ESD,イイーエスディー,single,01,150323010,000006,1,0,1,120,80
000009,内視鏡的食道粘膜下層剥離術(ESD),食道ESD,ショクドウイーエスディー,single,01,150336810,000007,1,0,1,120,90
000010,内視鏡的消化管止血術,止血術,ナイシキョウテキシケツジュツ,single,01,150164850,000008,1,1,0,,100
000011,内視鏡的食道・胃静脈瘤結紮術(EVL),EVL,イーブイエル,single,01,150270150,000009,1,0,1,60,110
000012,内視鏡的食道及び胃内異物摘出術,異物摘出,イブツテキシュツ,single,01,150165050,000010,1,0,1,30,120
000013,胃瘻造設術(PEG),PEG,ペグ,single,01,150171610,000011,1,0,1,45,130
000014,小腸内視鏡検査(バルーン内視鏡),バルーン小腸,ショウチョウナイシキョウバルーン,single,02,160219210,000012,1,0,1,90,140
000015,小腸カプセル内視鏡,カプセル小腸,ショウチョウカプセル,single,02,160183610,000013,1,0,1,30,150
000016,大腸内視鏡検査(全大腸),CS(全大腸),ダイチョウナイシキョウゼンダイチョウ,single,03,160094910,000014,1,0,1,40,160
000017,大腸内視鏡検査(下行結腸・横行結腸),CS(横行まで),ダイチョウナイシキョウオウコウ,single,03,160094810,000015,1,0,1,30,170
000018,大腸内視鏡検査(S状結腸),CS(S状),ダイチョウナイシキョウエスジョウ,single,03,160094710,000016,1,0,1,30,180
000019,緊急下部消化管内視鏡,緊急CS,キンキュウカブショウカカンナイシキョウ,single,03,160094910,000014,1,1,0,,190
000020,大腸カプセル内視鏡,カプセル大腸,ダイチョウカプセル,single,03,160202750,000017,1,0,1,30,200
000021,直腸鏡検査,直腸鏡,チョクチョウキョウ,single,03,160094210,000018,1,1,0,,210
000022,肛門鏡検査,肛門鏡,コウモンキョウ,single,03,160183710,000019,1,1,0,,220
000023,直腸ファイバースコピー,EF-直腸,チョクチョウファイバースコピー,single,03,160094610,000020,1,1,0,,230
000024,内視鏡的大腸ポリープ・粘膜切除術(長径2cm未満),大腸EMR,ダイチョウイエムアール,single,03,150285010,000021,1,0,1,60,240
000025,内視鏡的大腸ポリープ・粘膜切除術(長径2cm以上),大腸EMR(2cm以上),ダイチョウイエムアールダイ,single,03,150183410,000022,1,0,1,90,250
000026,内視鏡的結腸異物摘出術,結腸異物摘出,ケッチョウイブツテキシュツ,single,03,150325010,000023,1,0,1,45,260
000027,小腸結腸内視鏡的止血術,下部止血術,カブシケツジュツ,single,03,150263950,000024,1,1,0,,270
000028,内視鏡的逆行性胆管膵管造影(ERCP),ERCP,イーアールシーピー,single,04,160093810,000025,1,0,1,60,280
000029,内視鏡的乳頭切開術(EST),EST,イーエスティー,single,04,150175410,000026,1,0,1,90,290
000030,内視鏡的経鼻胆管ドレナージ術(ENBD),ENBD,イーエヌビーディー,single,04,150362310,000027,1,0,1,90,300
000031,内視鏡的胆道ステント留置術,胆道ステント,タンドウステント,single,04,150254410,000028,1,0,1,90,310
000032,内視鏡的胆道結石除去術(その他),胆道結石除去,タンドウケッセキジョキョ,single,04,150362510,000029,1,0,1,120,320
000033,気管支鏡検査,BF,キカンシキョウ,single,05,160092810,000030,1,0,1,40,330
000034,気管支肺胞洗浄(BAL),BAL,キカンシハイホウセンジョウ,single,05,160092810,000031,1,0,1,45,340
000035,超音波気管支鏡(EBUS-TBNA),EBUS,イーバス,single,05,160092810,000032,1,0,1,60,350
000036,喉頭内視鏡検査,喉頭内視鏡,コウトウナイシキョウ,single,90,160092410,000033,1,1,0,,360
000037,鼻咽腔内視鏡検査,鼻咽腔内視鏡,ビイントウナイシキョウ,single,90,160092310,000034,1,1,0,,370
000038,内視鏡下嚥下機能検査(VE),嚥下内視鏡,エンゲナイシキョウ,single,90,160187510,000035,1,1,0,,380
000039,膀胱尿道鏡検査,膀胱鏡,ボウコウキョウ,single,90,160187710,000036,1,1,0,,390
S00001,緊急上部消化管内視鏡+止血術,緊急EGD+止血,キンキュウジョウブナイシキョウシケツ,set,01,,,1,1,0,,400
S00002,直腸鏡・肛門鏡,直腸鏡+肛門鏡,チョクチョウキョウコウモンキョウ,set,03,,,1,1,0,,410
